Tweets,AuthorID,label,data_type
"My life’s more than just basketball… because there’s a whole lot more to life! 🙏🏾 With @LIFEWTR, we're hoping others go out &amp; find their passion &amp; purpose like I've found mine. Because to live a meaningful life requires more!! 👑💧 #LifeWTRpartner https://t.co/89RccTH5hP https://t.co/zxpmXALglk",23083404,0,train
Yessir!! Congrats Young 🤴🏾Bronny!! Proud of you kid! Keep going #JamesGang👑 https://t.co/ctJ91czuDK,23083404,0,train
My brother @tkelce CONGRATS!!!!!! 💍💍🙏🏾🫡✊🏾👑,23083404,0,val
His hand on his back had no effect on his route! This game was too damn good for that call to dictate the outcome at the end. Damn! By the way I have no horse in the race. Just my professional opinion,23083404,0,train
Sorry but I don’t like that call! Not for the Super Bowl man! 🤦🏾‍♂️,23083404,0,train
Rih got so many killer tracks!!!! 🔥🔥🔥🔥🔥🔥🔥🔥. 👏🏾👏🏾👏🏾👏🏾👏🏾♦️,23083404,0,train
Yessir!! Great team win tonight fellas! #LakeShow,23083404,0,train
@RomeTrav @4cast4you @stvmirish @DruOnDemand @SianCotton85 @STVMAthletics Me too! Lol. This our sophomore year??,23083404,0,val
Maybe It’s Me,23083404,0,val
@CuffsTheLegend FACTS!!! Plenty of game and she from the crib. Right down the highway from my city. She so TOUGH!!,23083404,0,train
LOADING.......🤴🏾 https://t.co/s3mpwfyef2,23083404,0,train
👀👑,23083404,0,train
Happy for my DOG @tkelce!!! Go get another one CHAMP!! 🫡🤎👑,23083404,0,val
🤦🏾‍♂️!!! I don’t understand. I truly don’t https://t.co/XgVDGRZ5Wa,23083404,0,train
That one hurt BIG TIME!!! I don't understand,23083404,0,train
WE ARE OUR OWN WORSE ENEMY!!!,23083404,0,train
TOO FACTUAL!!! https://t.co/Om43WiAzrN,23083404,0,train
Let's Go!!! Can't wait to go back to Dubai and sip some of that great spirit 🥃🥃!! https://t.co/rOLZAV8vpY,23083404,0,val
@jerreau 👀👀👀👀👀,23083404,0,train
YNWA❤️👑 https://t.co/7iHg8RkTVC,23083404,0,train
👽,23083404,0,train
MY GOODNESS!!!!! STRAIGHT KILLER!! THAT'S INSANE https://t.co/z5AyDKJyj2,23083404,0,val
Both of these defenses are SUPER ELITE!!!!,23083404,0,train
Yeah like they were saying. Anybody would look great at QB for the Eagles.. yeah ooook. HATERS MAN!! Jalen Hurts is SPECIAL. 🤡’s,23083404,0,train
@CuffsTheLegend 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣. I was laughing out loud fr fr at that,23083404,0,train
Make a Play  (M.A.P),23083404,0,train
He's SIMPLY a GREAT ALL-AROUND PLAYER but most importantly The GREATEST KID EVER!!! Oh and he's a PRO too! 😁 https://t.co/FlmNoUI1O7,23083404,0,val
@kylekuzma 🙏🏾. We working over here my brother! The kid is SPECIAL! 🫡,23083404,0,val
Got something on the horizon with @lifewtr for ya’ll! 🙏🏾💧👑 #LifeWTRpartner https://t.co/zHfEUor7mj,23083404,0,train
"And all year they keep telling me to my face on the court, “I didn’t see it” or “It wasn’t a foul”. It’s not making sense to me seriously! Frustrating as hell man! Anyways keep going Squad! 💜💛👑 https://t.co/tsrlXtJjuO",23083404,0,train
🔥🔥🔥🔥🔥🔥🔥🔥!! 🫡 @saquon! That boy so COLD!!! https://t.co/wE4y1iQBHg,23083404,0,val
PURDY GOT GAME!!!!!!!!!,23083404,0,train
🙏🏾👑🍀 https://t.co/oT1Bn1ofs7,23083404,0,val
Major S/O to my brother Kevin Warren on being name the President &amp; CEO of the Chicago Bears! Amazing my guy! Best of luck 🙏🏾🫡✊🏾,23083404,0,train
My fav guy!!!!!! BIG GAME JAMES!! @JamesWorthy42 🫡🙌🏾✊🏾🙏🏾 https://t.co/rYCLZCubqF,23083404,0,train
Party of the year at my crib this Friday!! 🤔🤷🏾‍♂️ Actually…. just in theaters. 😜👑 @makespringhill @wbpictures #HouseParty https://t.co/WbZRjEiSq0 https://t.co/Y2FfPmzRlJ,23083404,0,train
"Landed, hit the road and definitely thought I was back in Ohio. Weather in LA is insane! I’m used to this but I know people here ain’t for sure! Roads is crazy",23083404,0,val
@JimmySpencer Nah Jimmy! You saw the National Championship on Dec. 31st vs my Buckeyes! Same Division!,23083404,0,train
I LOVE THIS KID SO MUCH!!! SO DOPE. You have a fan in me Jamaal! 🫡 https://t.co/cW9mr6yqEt,23083404,0,train
@CuffsTheLegend Hahahahahaha!!!! AYO chill. 🤷🏾‍♂️,23083404,0,train
Upmost respect and calmness cause that’s the mood I’m in! Your welcome! 5 game winning streak. 😉👑,23083404,0,train
"Hey Sam actually my patience isn’t waning. You make it sound like I’m frustrated when I’m really not. I told you over and over, my job is focused on the guys in the locker room, my job isn’t the roster. That’s the reality of that conversation. And I said what I said with the https://t.co/NocLse0dVf",23083404,0,val
That boy is COLD!!! Keep putting in the work Young 🤴🏾!! #JamesGang👑 https://t.co/tZGCf64T5s,23083404,0,train
@AstronautKI Insane man!!! Like WTF man. So sad on both accounts. So many questions,23083404,0,train
1 🛑,23083404,0,val
MENANCE!!!!!!,23083404,0,train
Man that’s a CHARGE!!!! 🤦🏾‍♂️,23083404,0,train
KLAY!!!!!!!!! 🫡,23083404,0,train
🕷️ you're INSANE!!!!! 👏🏾👏🏾👏🏾👏🏾,23083404,0,train
Praying for you kid!!!🙏🏾🙏🏾🙏🏾🙏🏾 https://t.co/cC3ZsnpsjR,23083404,0,val
Yessir D Watson!! Another one. That boy getting his rhythm back! #Browns,23083404,0,train
WTF was that!!!!!!,23083404,0,train
No 18 hurts right now! 🤦🏾‍♂️,23083404,0,train
Beautiful textbook drive CJ!!! TD,23083404,0,train
1️⃣8️⃣ THAT IS ALL!! 🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️,23083404,0,train
🗣️🗣️🗣️🗣️🗣️🗣️🗣️ Let’s go!!! The Best WR in the country! Who cares about your votes!! #18 hit ‘em with “The Silencer” 🤫,23083404,0,train
🕊️🕊️🕊️🕊️🕊️🕊️🕊️. Rest in Paradise Jeff! You’ll be missed! My condolences goes out to your loved ones https://t.co/1YW8STYlVZ,23083404,0,val
@KDTrey5 🤣🤣🤣🤣🤣! FACTS,23083404,0,train
Merry Christmas to everyone! Enjoy 🙏🏾👑,23083404,0,train
"Fate whispers to the Warrior, You cannot survive the Storm.”  The Warrior whispered back, “I am the Storm….”",23083404,0,train
"Congrats to my brother @DwyaneWade on being on the eligible candidate HOF list!! I mean he ain't no candidate, he's IN!!!!! Hahaha! 🫡🙏🏾",23083404,0,val
Man I love y'all! 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣👏🏾👏🏾👏🏾 https://t.co/dtHcMzirGl,23083404,0,train
My 🙅🏾‍♂️ brother need to cut it out!! Sheesh JG!!!!! https://t.co/Jqbh3Dgsvh,23083404,0,train
Season 5 finale of #TheShop!!! Enjoyed everyone we had in the seat this year. Can’t wait till Season 6!! 😁🙏🏾👑💈 @uninterrupted https://t.co/SxbiNid5gT,23083404,0,val
Strive for Greatness 💪🏾👑 @Usman84kg #CROfam @cryptocom https://t.co/A09ofVH5Co,23083404,0,train
Ab-Herbert-Soul is so COLD MAN!!!!!!!!!🔥🔥🔥🔥🔥 project G 🫡,23083404,0,train
WHOA!!!!! 🤯🤯🤯🤯🔥🔥🔥🔥🔥 https://t.co/rgQKSu2uBg,23083404,0,train
@CuffsTheLegend FACTS!!!! 🤦🏾‍♂️,23083404,0,train
MESSI 🫡🐐👏🏾👏🏾,23083404,0,train
WOW!!!!!!!! MBAPPE 🔥🔥🔥🔥,23083404,0,train
Two of the greatest ever!! Let’s go 🔥⚽️🏆 @FIFAWorldCup @cryptocom https://t.co/ZaTHm3LVGx,23083404,0,train
Book going NUTSO right now!!! Sheesh,23083404,0,train
Can’t miss. 😉💧👑 @LIFEWTR #LifeWTRpartner https://t.co/BRF0FS1sFk,23083404,0,val
AYO what's wrong with you! 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/mn2V1cRNEH,23083404,0,train
♾️ https://t.co/4tZPui1zFC,23083404,0,train
