Unnamed: 0,Tweets,AuthorID
312,that's dope swish damn happy proud day,23083404
5261,haha love,368148234
644,kiasia baggenstos shines student represents parkrose respect program successful rigorous classes avid student part student leadership leads kindness works hard every task commits heading u,267425142
3234,one joke,2279776304
42,boy cold keep putting work young,23083404
702,watch throw hands thanks gatorlyte keeping us hydrated,267425142
4875,appreciate advice champ,116485600
5068,extremely proud moment thanks team especially,368148234
4299,paris,416814339
5009,better love new home stop complaining,368148234
1192,asked man 66 would good basketballbut im sensitive,35936474
955,hear,267425142
3046,create art,2279776304
2811,one greatest movies ever,448562247
5463,every day phenom sports performance,368148234
5834,good win last night,811761399647059968
4640,smart,116485600
2715,dream dinner party fire would head find,448562247
2091,wooow,460116210
4847,im thinking holiday edition mailbag pod everyone home little time chillin fam reply questions follow oh subscribe draymond green show right,116485600
770,access free courses every purchase,267425142
3935,life wasnt meant live someone elses ... purpose,50811932
6836,kids talking wild,289760136
1287,fam never lose,35936474
2174,still one best shows,460116210
3122,keep creating art,2279776304
3803,fell short forever indebted far good bye pay debts tmc h town,50811932
2761,man,448562247
4727,theres difference celtics team last year marcus smart wouldve taken shot ime got buy marcus smart everyone loved ok state beautiful looking like true pg thats made special,116485600
1600,saturdays curry boys,42562446
6014,love kc always pleasure talking,244800486
6454,fyi 2 coming soon goodnight drummxnd ft goodnight,244800486
5153,foul,368148234
6019,count,244800486
5399,yes,368148234
3092,great start keep building every day,2279776304
2727,4,448562247
1128,really dont matter say anyway talk cheap,35936474
6682,lmaoo yeah whatever,289760136
1191,minions unite,35936474
980,dame l l goat spirit feat raphael saadiq via,267425142
1965,lets go hold,42562446
3373,another day another opportunity,2279776304
836,great finals game teams played great series even,267425142
6461,music producers hit,244800486
5227,told requirement pg speed lol,368148234
5325,yall said yall tired step backs los angeles california,368148234
6006,kanye watching rihanna perform lights,244800486
4735,dg sit,116485600
1721,pull guy elite back summer chopped everything diversifying game ... know fun,42562446
1062,entitlement world gone another level media believes responsible popularity game,35936474
6796,yessir whatever takes get win,289760136
1787,bus hittin road amazing day w brought life promote literacy provide hunger relief underserved families bay area love making happen,42562446
884,rematch gone even tougher aj usyk gone get comfortable weight gone know aj better lookin forward,267425142
1123,whats hard understand gang keep simple,35936474
2177,chiquillo,460116210
5470,work treat roscoes chicken waffles inglewood,368148234
6316,im well mark hope well,244800486
