,Tweets,AuthorID
0,"My life’s more than just basketball… because there’s a whole lot more to life! 🙏🏾 With @LIFEWTR, we're hoping others go out &amp; find their passion &amp; purpose like I've found mine. Because to live a meaningful life requires more!! 👑💧 #LifeWTRpartner https://t.co/89RccTH5hP https://t.co/zxpmXALglk",23083404
1,Yessir!! Congrats Young 🤴🏾Bronny!! Proud of you kid! Keep going #JamesGang👑 https://t.co/ctJ91czuDK,23083404
2,My brother @tkelce CONGRATS!!!!!! 💍💍🙏🏾🫡✊🏾👑,23083404
3,His hand on his back had no effect on his route! This game was too damn good for that call to dictate the outcome at the end. Damn! By the way I have no horse in the race. Just my professional opinion,23083404
4,Sorry but I don’t like that call! Not for the Super Bowl man! 🤦🏾‍♂️,23083404
5,Rih got so many killer tracks!!!! 🔥🔥🔥🔥🔥🔥🔥🔥. 👏🏾👏🏾👏🏾👏🏾👏🏾♦️,23083404
6,Yessir!! Great team win tonight fellas! #LakeShow,23083404
7,@RomeTrav @4cast4you @stvmirish @DruOnDemand @SianCotton85 @STVMAthletics Me too! Lol. This our sophomore year??,23083404
8,Maybe It’s Me,23083404
9,@CuffsTheLegend FACTS!!! Plenty of game and she from the crib. Right down the highway from my city. She so TOUGH!!,23083404
10,LOADING.......🤴🏾 https://t.co/s3mpwfyef2,23083404
11,👀👑,23083404
12,Happy for my DOG @tkelce!!! Go get another one CHAMP!! 🫡🤎👑,23083404
13,🤦🏾‍♂️!!! I don’t understand. I truly don’t https://t.co/XgVDGRZ5Wa,23083404
14,That one hurt BIG TIME!!! I don't understand,23083404
15,WE ARE OUR OWN WORSE ENEMY!!!,23083404
16,TOO FACTUAL!!! https://t.co/Om43WiAzrN,23083404
17,Let's Go!!! Can't wait to go back to Dubai and sip some of that great spirit 🥃🥃!! https://t.co/rOLZAV8vpY,23083404
18,@jerreau 👀👀👀👀👀,23083404
19,YNWA❤️👑 https://t.co/7iHg8RkTVC,23083404
20,👽,23083404
21,MY GOODNESS!!!!! STRAIGHT KILLER!! THAT'S INSANE https://t.co/z5AyDKJyj2,23083404
22,Both of these defenses are SUPER ELITE!!!!,23083404
