,Tweets,AuthorID
0,"My life’s more than just basketball… because there’s a whole lot more to life! 🙏🏾 With @LIFEWTR, we're hoping others go out &amp; find their passion &amp; purpose like I've found mine. Because to live a meaningful life requires more!! 👑💧 #LifeWTRpartner https://t.co/89RccTH5hP https://t.co/zxpmXALglk",<generator object <genexpr> at 0x7fbde09f7350>
1,Yessir!! Congrats Young 🤴🏾Bronny!! Proud of you kid! Keep going #JamesGang👑 https://t.co/ctJ91czuDK,<generator object <genexpr> at 0x7fbde09f7350>
2,My brother @tkelce CONGRATS!!!!!! 💍💍🙏🏾🫡✊🏾👑,<generator object <genexpr> at 0x7fbde09f7350>
3,His hand on his back had no effect on his route! This game was too damn good for that call to dictate the outcome at the end. Damn! By the way I have no horse in the race. Just my professional opinion,<generator object <genexpr> at 0x7fbde09f7350>
4,Sorry but I don’t like that call! Not for the Super Bowl man! 🤦🏾‍♂️,<generator object <genexpr> at 0x7fbde09f7350>
5,Rih got so many killer tracks!!!! 🔥🔥🔥🔥🔥🔥🔥🔥. 👏🏾👏🏾👏🏾👏🏾👏🏾♦️,<generator object <genexpr> at 0x7fbde09f7350>
6,Yessir!! Great team win tonight fellas! #LakeShow,<generator object <genexpr> at 0x7fbde09f7350>
7,@RomeTrav @4cast4you @stvmirish @DruOnDemand @SianCotton85 @STVMAthletics Me too! Lol. This our sophomore year??,<generator object <genexpr> at 0x7fbde09f7350>
8,Maybe It’s Me,<generator object <genexpr> at 0x7fbde09f7350>
9,@CuffsTheLegend FACTS!!! Plenty of game and she from the crib. Right down the highway from my city. She so TOUGH!!,<generator object <genexpr> at 0x7fbde09f7350>
10,LOADING.......🤴🏾 https://t.co/s3mpwfyef2,<generator object <genexpr> at 0x7fbde09f7350>
11,👀👑,<generator object <genexpr> at 0x7fbde09f7350>
12,Happy for my DOG @tkelce!!! Go get another one CHAMP!! 🫡🤎👑,<generator object <genexpr> at 0x7fbde09f7350>
13,🤦🏾‍♂️!!! I don’t understand. I truly don’t https://t.co/XgVDGRZ5Wa,<generator object <genexpr> at 0x7fbde09f7350>
14,That one hurt BIG TIME!!! I don't understand,<generator object <genexpr> at 0x7fbde09f7350>
15,WE ARE OUR OWN WORSE ENEMY!!!,<generator object <genexpr> at 0x7fbde09f7350>
16,TOO FACTUAL!!! https://t.co/Om43WiAzrN,<generator object <genexpr> at 0x7fbde09f7350>
17,Let's Go!!! Can't wait to go back to Dubai and sip some of that great spirit 🥃🥃!! https://t.co/rOLZAV8vpY,<generator object <genexpr> at 0x7fbde09f7350>
18,@jerreau 👀👀👀👀👀,<generator object <genexpr> at 0x7fbde09f7350>
19,YNWA❤️👑 https://t.co/7iHg8RkTVC,<generator object <genexpr> at 0x7fbde09f7350>
20,👽,<generator object <genexpr> at 0x7fbde09f7350>
21,MY GOODNESS!!!!! STRAIGHT KILLER!! THAT'S INSANE https://t.co/z5AyDKJyj2,<generator object <genexpr> at 0x7fbde09f7350>
22,Both of these defenses are SUPER ELITE!!!!,<generator object <genexpr> at 0x7fbde09f7350>
23,Yeah like they were saying. Anybody would look great at QB for the Eagles.. yeah ooook. HATERS MAN!! Jalen Hurts is SPECIAL. 🤡’s,<generator object <genexpr> at 0x7fbde09f7350>
24,@CuffsTheLegend 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣. I was laughing out loud fr fr at that,<generator object <genexpr> at 0x7fbde09f7350>
25,Make a Play  (M.A.P),<generator object <genexpr> at 0x7fbde09f7350>
26,He's SIMPLY a GREAT ALL-AROUND PLAYER but most importantly The GREATEST KID EVER!!! Oh and he's a PRO too! 😁 https://t.co/FlmNoUI1O7,<generator object <genexpr> at 0x7fbde09f7350>
27,@kylekuzma 🙏🏾. We working over here my brother! The kid is SPECIAL! 🫡,<generator object <genexpr> at 0x7fbde09f7350>
28,Got something on the horizon with @lifewtr for ya’ll! 🙏🏾💧👑 #LifeWTRpartner https://t.co/zHfEUor7mj,<generator object <genexpr> at 0x7fbde09f7350>
29,"And all year they keep telling me to my face on the court, “I didn’t see it” or “It wasn’t a foul”. It’s not making sense to me seriously! Frustrating as hell man! Anyways keep going Squad! 💜💛👑 https://t.co/tsrlXtJjuO",<generator object <genexpr> at 0x7fbde09f7350>
30,🔥🔥🔥🔥🔥🔥🔥🔥!! 🫡 @saquon! That boy so COLD!!! https://t.co/wE4y1iQBHg,<generator object <genexpr> at 0x7fbde09f7350>
31,PURDY GOT GAME!!!!!!!!!,<generator object <genexpr> at 0x7fbde09f7350>
32,🙏🏾👑🍀 https://t.co/oT1Bn1ofs7,<generator object <genexpr> at 0x7fbde09f7350>
33,Major S/O to my brother Kevin Warren on being name the President &amp; CEO of the Chicago Bears! Amazing my guy! Best of luck 🙏🏾🫡✊🏾,<generator object <genexpr> at 0x7fbde09f7350>
34,My fav guy!!!!!! BIG GAME JAMES!! @JamesWorthy42 🫡🙌🏾✊🏾🙏🏾 https://t.co/rYCLZCubqF,<generator object <genexpr> at 0x7fbde09f7350>
35,Party of the year at my crib this Friday!! 🤔🤷🏾‍♂️ Actually…. just in theaters. 😜👑 @makespringhill @wbpictures #HouseParty https://t.co/WbZRjEiSq0 https://t.co/Y2FfPmzRlJ,<generator object <genexpr> at 0x7fbde09f7350>
36,"Landed, hit the road and definitely thought I was back in Ohio. Weather in LA is insane! I’m used to this but I know people here ain’t for sure! Roads is crazy",<generator object <genexpr> at 0x7fbde09f7350>
37,@JimmySpencer Nah Jimmy! You saw the National Championship on Dec. 31st vs my Buckeyes! Same Division!,<generator object <genexpr> at 0x7fbde09f7350>
38,I LOVE THIS KID SO MUCH!!! SO DOPE. You have a fan in me Jamaal! 🫡 https://t.co/cW9mr6yqEt,<generator object <genexpr> at 0x7fbde09f7350>
39,@CuffsTheLegend Hahahahahaha!!!! AYO chill. 🤷🏾‍♂️,<generator object <genexpr> at 0x7fbde09f7350>
40,Upmost respect and calmness cause that’s the mood I’m in! Your welcome! 5 game winning streak. 😉👑,<generator object <genexpr> at 0x7fbde09f7350>
41,"Hey Sam actually my patience isn’t waning. You make it sound like I’m frustrated when I’m really not. I told you over and over, my job is focused on the guys in the locker room, my job isn’t the roster. That’s the reality of that conversation. And I said what I said with the https://t.co/NocLse0dVf",<generator object <genexpr> at 0x7fbde09f7350>
42,That boy is COLD!!! Keep putting in the work Young 🤴🏾!! #JamesGang👑 https://t.co/tZGCf64T5s,<generator object <genexpr> at 0x7fbde09f7350>
43,@AstronautKI Insane man!!! Like WTF man. So sad on both accounts. So many questions,<generator object <genexpr> at 0x7fbde09f7350>
44,1 🛑,<generator object <genexpr> at 0x7fbde09f7350>
45,MENANCE!!!!!!,<generator object <genexpr> at 0x7fbde09f7350>
46,Man that’s a CHARGE!!!! 🤦🏾‍♂️,<generator object <genexpr> at 0x7fbde09f7350>
47,KLAY!!!!!!!!! 🫡,<generator object <genexpr> at 0x7fbde09f7350>
48,🕷️ you're INSANE!!!!! 👏🏾👏🏾👏🏾👏🏾,<generator object <genexpr> at 0x7fbde09f7350>
49,Praying for you kid!!!🙏🏾🙏🏾🙏🏾🙏🏾 https://t.co/cC3ZsnpsjR,<generator object <genexpr> at 0x7fbde09f7350>
50,Yessir D Watson!! Another one. That boy getting his rhythm back! #Browns,<generator object <genexpr> at 0x7fbde09f7350>
51,WTF was that!!!!!!,<generator object <genexpr> at 0x7fbde09f7350>
52,No 18 hurts right now! 🤦🏾‍♂️,<generator object <genexpr> at 0x7fbde09f7350>
53,Beautiful textbook drive CJ!!! TD,<generator object <genexpr> at 0x7fbde09f7350>
54,1️⃣8️⃣ THAT IS ALL!! 🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️,<generator object <genexpr> at 0x7fbde09f7350>
55,🗣️🗣️🗣️🗣️🗣️🗣️🗣️ Let’s go!!! The Best WR in the country! Who cares about your votes!! #18 hit ‘em with “The Silencer” 🤫,<generator object <genexpr> at 0x7fbde09f7350>
56,🕊️🕊️🕊️🕊️🕊️🕊️🕊️. Rest in Paradise Jeff! You’ll be missed! My condolences goes out to your loved ones https://t.co/1YW8STYlVZ,<generator object <genexpr> at 0x7fbde09f7350>
57,@KDTrey5 🤣🤣🤣🤣🤣! FACTS,<generator object <genexpr> at 0x7fbde09f7350>
58,Merry Christmas to everyone! Enjoy 🙏🏾👑,<generator object <genexpr> at 0x7fbde09f7350>
59,"Fate whispers to the Warrior, You cannot survive the Storm.”  The Warrior whispered back, “I am the Storm….”",<generator object <genexpr> at 0x7fbde09f7350>
60,"Congrats to my brother @DwyaneWade on being on the eligible candidate HOF list!! I mean he ain't no candidate, he's IN!!!!! Hahaha! 🫡🙏🏾",<generator object <genexpr> at 0x7fbde09f7350>
61,Man I love y'all! 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣👏🏾👏🏾👏🏾 https://t.co/dtHcMzirGl,<generator object <genexpr> at 0x7fbde09f7350>
62,My 🙅🏾‍♂️ brother need to cut it out!! Sheesh JG!!!!! https://t.co/Jqbh3Dgsvh,<generator object <genexpr> at 0x7fbde09f7350>
63,Season 5 finale of #TheShop!!! Enjoyed everyone we had in the seat this year. Can’t wait till Season 6!! 😁🙏🏾👑💈 @uninterrupted https://t.co/SxbiNid5gT,<generator object <genexpr> at 0x7fbde09f7350>
64,Strive for Greatness 💪🏾👑 @Usman84kg #CROfam @cryptocom https://t.co/A09ofVH5Co,<generator object <genexpr> at 0x7fbde09f7350>
65,Ab-Herbert-Soul is so COLD MAN!!!!!!!!!🔥🔥🔥🔥🔥 project G 🫡,<generator object <genexpr> at 0x7fbde09f7350>
66,WHOA!!!!! 🤯🤯🤯🤯🔥🔥🔥🔥🔥 https://t.co/rgQKSu2uBg,<generator object <genexpr> at 0x7fbde09f7350>
67,@CuffsTheLegend FACTS!!!! 🤦🏾‍♂️,<generator object <genexpr> at 0x7fbde09f7350>
68,MESSI 🫡🐐👏🏾👏🏾,<generator object <genexpr> at 0x7fbde09f7350>
69,WOW!!!!!!!! MBAPPE 🔥🔥🔥🔥,<generator object <genexpr> at 0x7fbde09f7350>
70,Two of the greatest ever!! Let’s go 🔥⚽️🏆 @FIFAWorldCup @cryptocom https://t.co/ZaTHm3LVGx,<generator object <genexpr> at 0x7fbde09f7350>
71,Book going NUTSO right now!!! Sheesh,<generator object <genexpr> at 0x7fbde09f7350>
72,Can’t miss. 😉💧👑 @LIFEWTR #LifeWTRpartner https://t.co/BRF0FS1sFk,<generator object <genexpr> at 0x7fbde09f7350>
73,AYO what's wrong with you! 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/mn2V1cRNEH,<generator object <genexpr> at 0x7fbde09f7350>
74,♾️ https://t.co/4tZPui1zFC,<generator object <genexpr> at 0x7fbde09f7350>
75,FAMILY!!! 🤎 https://t.co/WTx3ZYpwaB,<generator object <genexpr> at 0x7fbde09f7350>
76,Here’s to all the fathers that didn't have the blueprint but figured it out along the way!! 🤎🙏🏾👑 https://t.co/ZCfaW58t7F,<generator object <genexpr> at 0x7fbde09f7350>
77,@Lakers 💪🏾👑 https://t.co/FUhMRnoWnz,<generator object <genexpr> at 0x7fbde09f7350>
78,You had a huge impact on me and my family and I’m so appreciative of you. A great person and journalist. Rest In Paradise Grant Wahl. 🙏🏾🤎👑 https://t.co/rvFDGEA9fz,<generator object <genexpr> at 0x7fbde09f7350>
79,@RicFlairNatrBoy ALL LOVE Nature Boy!!!! You're such a LEGEND MAN!!! Continue of blessings sent to you and the family!! 🙏🏾✊🏾🤎👑,<generator object <genexpr> at 0x7fbde09f7350>
